country,continent,year,biofuel_consumption,biofuel_share_energy,biofuel_cagr_5y,growth_score,continent_ranking
Algeria,Africa,2024,0.0,0.0,,0.0,1
Angola,Africa,2024,0.0,,,0.0,1
Chad,Africa,2024,0.0,,,0.0,1
Congo,Africa,2024,0.0,,,0.0,1
Democratic Republic of Congo,Africa,2024,0.0,,,0.0,1
Egypt,Africa,2024,0.0,0.0,,0.0,1
Equatorial Guinea,Africa,2024,0.0,,,0.0,1
Gabon,Africa,2024,0.0,,,0.0,1
Libya,Africa,2024,0.0,,,0.0,1
Madagascar,Africa,2024,0.0,,,0.0,1
Morocco,Africa,2024,0.0,0.0,,0.0,1
Mozambique,Africa,2024,0.0,,,0.0,1
Nigeria,Africa,2024,0.0,,,0.0,1
South Africa,Africa,2024,1.024,0.075,-0.0288515191847604,0.0,1
South Sudan,Africa,2024,0.0,,,0.0,1
Sudan,Africa,2024,0.0,,,0.0,1
Tunisia,Africa,2024,0.0,,,0.0,1
Zambia,Africa,2024,0.0,,,0.0,1
Zimbabwe,Africa,2024,0.0,,,0.0,1
India,Asia,2024,47.63,0.422,0.2144804527478481,1.0,1
Hong Kong,Asia,2024,1.508,0.553,0.1757280064876383,0.838525668022816,2
Cyprus,Asia,2024,0.29,0.874,0.1559576903346582,0.7561463887292124,3
Malaysia,Asia,2024,16.906,1.228,0.15317814519397,0.7445645342114524,4
Indonesia,Asia,2024,120.655,4.034,0.1395418268962585,0.6877444983105938,5
Israel,Asia,2024,0.939,0.34,0.0939541379001291,0.4977889642107508,6
Philippines,Asia,2024,6.953,1.059,0.0168427820820906,0.17648009547598778,7
Japan,Asia,2024,5.004,0.105,0.0067682488548801,0.13450136432899173,8
South Korea,Asia,2024,8.885,0.247,0.0031680147966821,0.11949984969929617,9
Taiwan,Asia,2024,0.0,0.0,0.0,0.10629931341435644,10
Thailand,Asia,2024,22.829,1.61,-0.023245423892911,0.009439897896933183,11
Turkey,Asia,2024,1.646,0.079,-0.0248657196537794,0.0026884228072088325,12
China,Asia,2024,37.228,0.077,-0.0255109179282383,0.0,13
Azerbaijan,Asia,2024,0.0,0.0,,,
Bahrain,Asia,2024,0.0,,,,
Bangladesh,Asia,2024,0.0,0.0,,,
Brunei,Asia,2024,0.0,,,,
Iran,Asia,2024,0.0,0.0,,,
Iraq,Asia,2024,0.0,0.0,,,
Kazakhstan,Asia,2024,0.0,0.0,,,
Kuwait,Asia,2024,0.0,0.0,,,
Mongolia,Asia,2024,0.0,,,,
Myanmar,Asia,2024,0.0,,,,
Oman,Asia,2024,0.0,0.0,,,
Pakistan,Asia,2024,0.0,0.0,,,
Qatar,Asia,2024,0.0,0.0,,,
Saudi Arabia,Asia,2024,0.0,0.0,,,
Singapore,Asia,2024,0.0,0.0,,,
Sri Lanka,Asia,2024,0.0,0.0,,,
Syria,Asia,2024,0.0,,,,
Turkmenistan,Asia,2024,0.0,0.0,,,
