country,year,iso_code,population,gdp,biofuel_cons_per_capita,biofuel_consumption,biofuel_electricity,biofuel_share_energy,electricity_generation,energy_per_capita,oil_consumption,renewables_share_energy,continent,gdp_per_capita,biofuel_consumption_lag1,biofuel_share_energy_lag1,gdp_per_capita_lag1,biofuel_cagr_5y,top80_consumer
Algeria,2000,DZA,30903894.0,208554150552.0,0.0,0.0,0.0,0.0,25.4,9705.756,103.132,0.05,Africa,6748.474821716642,,,,,0
Algeria,2001,DZA,31331226.0,223420294027.0,0.0,0.0,0.0,0.0,26.62,9920.229,106.775,0.061,Africa,7130.914507686357,0.0,0.0,6748.474821716642,,0
Algeria,2002,DZA,31750832.0,245360923720.0,0.0,0.0,0.0,0.0,27.65,10139.907,118.397,0.049,Africa,7727.7006070266125,0.0,0.0,7130.914507686357,,0
Algeria,2003,DZA,32175813.0,273568638765.0,0.0,0.0,0.0,0.0,29.57,10471.285,123.174,0.214,Africa,8502.306958490839,0.0,0.0,7727.7006070266125,,0
Algeria,2004,DZA,32628286.0,296773569597.0,0.0,0.0,0.0,0.0,31.25,10720.079,128.747,0.194,Africa,9095.591769576864,0.0,0.0,8502.306958490839,,0
Algeria,2005,DZA,33109258.0,326854481030.0,0.0,0.0,0.0,0.0,33.91,11062.512,134.213,0.408,Africa,9871.996558485243,0.0,0.0,9095.591769576864,,0
Algeria,2006,DZA,33623505.0,345705309468.0,0.0,0.0,0.0,0.0,35.23,11278.422,139.846,0.153,Africa,10281.655926947533,0.0,0.0,9871.996558485243,,0
Algeria,2007,DZA,34189420.0,371665260161.0,0.0,0.0,0.0,0.0,37.19,11688.989,156.39,0.15,Africa,10870.76821311973,0.0,0.0,10281.655926947533,,0
Algeria,2008,DZA,34816963.0,395658515586.0,0.0,0.0,0.0,0.0,40.23,12165.246,169.916,0.176,Africa,11363.958297741248,0.0,0.0,10870.76821311973,,0
Algeria,2009,DZA,35490442.0,418247711085.0,0.0,0.0,0.0,0.0,38.5,12647.33,180.134,0.2,Africa,11784.798596901104,0.0,0.0,11363.958297741248,,0
Algeria,2010,DZA,36188237.0,450705801593.0,0.0,0.0,0.0,0.0,45.73,12130.873,181.612,0.108,Africa,12454.483527147233,0.0,0.0,11784.798596901104,,0
Algeria,2011,DZA,36903374.0,482028679734.0,0.0,0.0,0.0,0.0,51.22,12586.607,192.228,0.221,Africa,13061.913518639245,0.0,0.0,12454.483527147233,,0
Algeria,2012,DZA,37646165.0,498417638719.0,0.0,0.0,0.0,0.0,57.4,13485.354,204.395,0.211,Africa,13239.532863945105,0.0,0.0,13061.913518639245,,0
Algeria,2013,DZA,38414176.0,512373332647.0,0.0,0.0,0.0,0.0,59.89,13978.61,213.576,0.061,Africa,13338.131544120588,0.0,0.0,13239.532863945105,,0
Algeria,2014,DZA,39205035.0,531843509827.0,0.0,0.0,0.0,0.0,64.27,14937.195,221.925,0.11,Africa,13565.694044833783,0.0,0.0,13338.131544120588,,0
Algeria,2015,DZA,40019528.0,551521739825.0,0.0,0.0,0.0,0.0,68.84,15430.422,236.148,0.091,Africa,13781.315457418688,0.0,0.0,13565.694044833783,,0
Algeria,2016,DZA,40850719.0,569170418715.0,0.0,0.0,0.0,0.0,71.04,15103.672,229.564,0.137,Africa,13932.935151398437,0.0,0.0,13781.315457418688,,0
Algeria,2017,DZA,41689302.0,577138830559.0,0.0,0.0,0.0,0.0,76.07,14962.943,225.512,0.232,Africa,13843.811310609135,0.0,0.0,13932.935151398437,,0
Algeria,2018,DZA,42505033.0,584064441740.0,0.0,0.0,0.0,0.0,76.75,15753.894,227.786,0.271,Africa,13741.06548135135,0.0,0.0,13843.811310609135,,0
Algeria,2019,DZA,43294551.0,589905104177.0,0.0,0.0,0.0,0.0,81.61,16037.789,236.951,0.277,Africa,13625.38912060781,0.0,0.0,13741.06548135135,,0
Algeria,2020,DZA,44042094.0,559819958223.0,0.0,0.0,0.0,0.0,79.37,14733.604,211.925,0.283,Africa,12711.020466533675,0.0,0.0,13625.38912060781,,0
Algeria,2021,DZA,44761099.0,578853830170.0,0.0,0.0,0.0,0.0,85.6,15808.98,221.204,0.238,Africa,12932.073677860322,0.0,0.0,12711.020466533675,,0
Algeria,2022,DZA,45477391.0,595820067103.0,0.0,0.0,0.0,0.0,91.47,16145.337,226.91,0.228,Africa,13101.456657946803,0.0,0.0,12932.073677860322,,0
Algeria,2023,DZA,46164222.0,,0.0,0.0,0.0,0.0,95.88,16994.377,238.203,0.227,Africa,,0.0,0.0,13101.456657946803,,0
Algeria,2024,DZA,46814302.0,,0.0,0.0,0.0,0.0,96.36,16237.188,250.971,0.242,Africa,,0.0,0.0,,,0
Angola,2000,AGO,16194873.0,23512184116.0,0.0,0.0,0.0,,1.44,1893.218,,,Africa,1451.8288668271744,,,,,0
Angola,2001,AGO,16747204.0,26015021059.0,0.0,0.0,0.0,,1.64,1982.507,,,Africa,1553.3948866330165,0.0,,1451.8288668271744,,0
Angola,2002,AGO,17327701.0,31389808151.0,0.0,0.0,0.0,,1.76,2038.03,,,Africa,1811.539115950812,0.0,,1553.3948866330165,,0
Angola,2003,AGO,17943718.0,35081368421.0,0.0,0.0,0.0,,1.99,2187.965,,,Africa,1955.0780067430842,0.0,,1811.539115950812,,0
