country,year,iso_code,population,gdp,biofuel_cons_per_capita,biofuel_consumption,biofuel_electricity,biofuel_share_energy,electricity_generation,energy_per_capita,oil_consumption,renewables_share_energy
Algeria,2000,DZA,30903894.0,208554150552.0,0.0,0.0,0.0,0.0,25.4,9705.756,103.132,0.05
Algeria,2001,DZA,31331226.0,223420294027.0,0.0,0.0,0.0,0.0,26.62,9920.229,106.775,0.061
Algeria,2002,DZA,31750832.0,245360923720.0,0.0,0.0,0.0,0.0,27.65,10139.907,118.397,0.049
Algeria,2003,DZA,32175813.0,273568638765.0,0.0,0.0,0.0,0.0,29.57,10471.285,123.174,0.214
Algeria,2004,DZA,32628286.0,296773569597.0,0.0,0.0,0.0,0.0,31.25,10720.079,128.747,0.194
Algeria,2005,DZA,33109258.0,326854481030.0,0.0,0.0,0.0,0.0,33.91,11062.512,134.213,0.408
Algeria,2006,DZA,33623505.0,345705309468.0,0.0,0.0,0.0,0.0,35.23,11278.422,139.846,0.153
Algeria,2007,DZA,34189420.0,371665260161.0,0.0,0.0,0.0,0.0,37.19,11688.989,156.39,0.15
Algeria,2008,DZA,34816963.0,395658515586.0,0.0,0.0,0.0,0.0,40.23,12165.246,169.916,0.176
Algeria,2009,DZA,35490442.0,418247711085.0,0.0,0.0,0.0,0.0,38.5,12647.33,180.134,0.2
Algeria,2010,DZA,36188237.0,450705801593.0,0.0,0.0,0.0,0.0,45.73,12130.873,181.612,0.108
Algeria,2011,DZA,36903374.0,482028679734.0,0.0,0.0,0.0,0.0,51.22,12586.607,192.228,0.221
Algeria,2012,DZA,37646165.0,498417638719.0,0.0,0.0,0.0,0.0,57.4,13485.354,204.395,0.211
Algeria,2013,DZA,38414176.0,512373332647.0,0.0,0.0,0.0,0.0,59.89,13978.61,213.576,0.061
Algeria,2014,DZA,39205035.0,531843509827.0,0.0,0.0,0.0,0.0,64.27,14937.195,221.925,0.11
Algeria,2015,DZA,40019528.0,551521739825.0,0.0,0.0,0.0,0.0,68.84,15430.422,236.148,0.091
Algeria,2016,DZA,40850719.0,569170418715.0,0.0,0.0,0.0,0.0,71.04,15103.672,229.564,0.137
Algeria,2017,DZA,41689302.0,577138830559.0,0.0,0.0,0.0,0.0,76.07,14962.943,225.512,0.232
Algeria,2018,DZA,42505033.0,584064441740.0,0.0,0.0,0.0,0.0,76.75,15753.894,227.786,0.271
Algeria,2019,DZA,43294551.0,589905104177.0,0.0,0.0,0.0,0.0,81.61,16037.789,236.951,0.277
Algeria,2020,DZA,44042094.0,559819958223.0,0.0,0.0,0.0,0.0,79.37,14733.604,211.925,0.283
Algeria,2021,DZA,44761099.0,578853830170.0,0.0,0.0,0.0,0.0,85.6,15808.98,221.204,0.238
Algeria,2022,DZA,45477391.0,595820067103.0,0.0,0.0,0.0,0.0,91.47,16145.337,226.91,0.228
Algeria,2023,DZA,46164222.0,,0.0,0.0,0.0,0.0,95.88,16994.377,238.203,0.227
Algeria,2024,DZA,46814302.0,,0.0,0.0,0.0,0.0,96.36,16237.188,250.971,0.242
Angola,2000,AGO,16194873.0,23512184116.0,0.0,0.0,0.0,,1.44,1893.218,,
Angola,2001,AGO,16747204.0,26015021059.0,0.0,0.0,0.0,,1.64,1982.507,,
Angola,2002,AGO,17327701.0,31389808151.0,0.0,0.0,0.0,,1.76,2038.03,,
Angola,2003,AGO,17943718.0,35081368421.0,0.0,0.0,0.0,,1.99,2187.965,,
Angola,2004,AGO,18600426.0,41307235678.0,0.0,0.0,0.0,,2.24,2298.005,,
Angola,2005,AGO,19291160.0,51967661783.0,0.0,0.0,0.0,,2.63,1815.006,,
Angola,2006,AGO,20015281.0,66749579296.0,0.0,0.0,0.0,,2.98,2215.237,,
Angola,2007,AGO,20778570.0,87086353818.0,0.0,0.0,0.0,,3.24,2511.339,,
Angola,2008,AGO,21578656.0,105593132748.0,0.0,0.0,0.0,,4.05,2818.649,,
Angola,2009,AGO,22414775.0,115247846475.0,0.0,0.0,0.0,,4.91,3137.766,,
Angola,2010,AGO,23294822.0,126984175354.0,0.0,0.0,0.0,,5.46,3278.897,,
Angola,2011,AGO,24218358.0,140477268750.0,0.0,0.0,0.0,,5.66,3298.733,,
Angola,2012,AGO,25177398.0,152476849129.0,0.0,0.0,0.0,,7.72,3419.703,,
Angola,2013,AGO,26165616.0,160032073258.0,0.0,0.0,0.0,,8.15,3570.166,,
Angola,2014,AGO,27160767.0,167750415635.0,0.0,0.0,0.04,,9.56,3800.598,,
Angola,2015,AGO,28157802.0,169333972139.0,0.0,0.0,0.04,,9.78,3852.95,,
Angola,2016,AGO,29183072.0,164965166058.0,0.0,0.0,0.05,,10.98,3330.99,,
Angola,2017,AGO,30234836.0,164717711409.0,0.0,0.0,0.05,,10.81,2774.095,,
Angola,2018,AGO,31297160.0,162550037080.0,0.0,0.0,0.05,,13.14,2910.07,,
Angola,2019,AGO,32375633.0,161408924528.0,0.0,0.0,0.05,,15.82,2937.561,,
Angola,2020,AGO,33451139.0,152308692850.0,0.0,0.0,0.05,,16.81,2281.591,,
Angola,2021,AGO,34532427.0,153971902307.0,0.0,0.0,0.05,,16.85,2491.884,,
Angola,2022,AGO,35635028.0,158346237030.0,0.0,0.0,0.05,,17.31,2713.824,,
Angola,2023,AGO,36749909.0,,0.0,0.0,0.05,,15.75,2680.342,,
Angola,2024,AGO,37885854.0,,0.0,0.0,0.05,,15.59,,,
Argentina,2000,ARG,37213986.0,536480965694.0,0.0,0.0,0.39,0.0,88.98,18907.803,269.796,11.557
Argentina,2001,ARG,37624817.0,514867255248.0,0.0,0.0,0.36,0.0,90.14,18268.281,250.165,15.036
Argentina,2002,ARG,38029345.0,460558541367.0,0.0,0.0,0.53,0.0,84.59,17306.4,236.546,15.335
Argentina,2003,ARG,38424283.0,503104157615.0,0.0,0.0,0.88,0.0,92.07,18341.469,240.754,13.613
Argentina,2004,ARG,38815915.0,550306327169.0,0.0,0.0,0.87,0.0,100.26,19351.779,261.026,11.465
Argentina,2005,ARG,39216786.0,601050418142.0,0.0,0.0,0.92,0.0,105.75,20306.785,272.524,12.032
Argentina,2006,ARG,39622113.0,652296814311.0,0.0,0.0,1.05,0.0,113.43,21100.816,286.841,12.678
Argentina,2007,ARG,40016767.0,714725198062.0,0.0,0.0,1.07,0.0,113.52,21717.797,316.039,10.024
